"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2416","should open the app and verify the login screen","Login Apps","Thu Nov 06 08:54:16 WIB 2025","passed","Thu Nov 06 08:54:18 WIB 2025","","","",""
"","5375","should allow the user to log in with valid credentials","Login Apps","Thu Nov 06 08:54:18 WIB 2025","passed","Thu Nov 06 08:54:23 WIB 2025","","","",""
"","2072","should open the app and verify the home screen","Open Apps","Thu Nov 06 09:17:00 WIB 2025","passed","Thu Nov 06 09:17:02 WIB 2025","","","",""
"","7336","should login with valid credentials","Login Apps","Thu Nov 06 08:54:01 WIB 2025","passed","Thu Nov 06 08:54:09 WIB 2025","","","",""
"","1084","should open the app and show login screen","Login Apps","Thu Nov 06 08:54:00 WIB 2025","passed","Thu Nov 06 08:54:01 WIB 2025","","","",""
